2017-04-04 17:10:02,358 - INFO - Reading from log file /etc/osg_display/osg_display.conf.
2017-04-04 17:10:02,359 - DEBUG - Setting script timeout to 3600.
2017-04-04 17:10:02,374 - INFO - Successfully connected to Gratia database
2017-04-04 17:10:16,187 - INFO - Gratia returned 199 results for jobs
2017-04-04 17:10:16,187 - DEBUG - Job result dump:
2017-04-04 17:10:16,193 - DEBUG - Time 2017-03-28 21:00: Count 31, Hours 3.67
2017-04-04 17:10:16,193 - DEBUG - Time 2017-03-28 22:00: Count 24, Hours 14.03
2017-04-04 17:10:16,193 - DEBUG - Time 2017-03-28 23:00: Count 28, Hours 13.05
2017-04-04 17:10:16,194 - DEBUG - Time 2017-03-29 00:00: Count 8, Hours 3.80
2017-04-04 17:10:16,194 - DEBUG - Time 2017-03-29 01:00: Count 17, Hours 42.66
2017-04-04 17:10:16,194 - DEBUG - Time 2017-03-29 02:00: Count 18, Hours 8.96
2017-04-04 17:10:16,194 - DEBUG - Time 2017-03-29 03:00: Count 7, Hours 11.14
2017-04-04 17:10:16,194 - DEBUG - Time 2017-03-29 04:00: Count 19, Hours 9.93
2017-04-04 17:10:16,194 - DEBUG - Time 2017-03-29 05:00: Count 12, Hours 12.31
2017-04-04 17:10:16,194 - DEBUG - Time 2017-03-29 06:00: Count 18, Hours 31.07
2017-04-04 17:10:16,194 - DEBUG - Time 2017-03-29 07:00: Count 29, Hours 48.11
2017-04-04 17:10:16,194 - DEBUG - Time 2017-03-29 08:00: Count 17, Hours 4.29
2017-04-04 17:10:16,194 - DEBUG - Time 2017-03-29 09:00: Count 14, Hours 4.06
2017-04-04 17:10:16,195 - DEBUG - Time 2017-03-29 10:00: Count 13, Hours 27.45
2017-04-04 17:10:16,195 - DEBUG - Time 2017-03-29 11:00: Count 36, Hours 13.11
2017-04-04 17:10:16,195 - DEBUG - Time 2017-03-29 12:00: Count 36, Hours 12.31
2017-04-04 17:10:16,195 - DEBUG - Time 2017-03-29 13:00: Count 4, Hours 7.71
2017-04-04 17:10:16,195 - DEBUG - Time 2017-03-29 14:00: Count 2, Hours 18.24
2017-04-04 17:10:16,195 - DEBUG - Time 2017-03-29 15:00: Count 50, Hours 14.48
2017-04-04 17:10:16,195 - DEBUG - Time 2017-03-29 16:00: Count 4, Hours 19.81
